#  Selected node pairs
SINK	20	SINK	17	29329	32623
SINK	40	SINK	37	26944	32449
SINK	13	SINK	41	24231	24922
SINK	25	SINK	41	24488	24922
SINK	19	SINK	37	22341	32449
SINK	10	SINK	2	13502	19017
SINK	35	SINK	20	28024	29329
SINK	5	SINK	9	30187	31519
SINK	34	SINK	17	32416	32623
SINK	32	SINK	23	21356	32165
SINK	25	SINK	8	24488	24937
SINK	32	SINK	13	21356	24231
SINK	23	SINK	17	32165	32623
SINK	12	SINK	9	28661	31519
SINK	4	SINK	18	9275	14809
SINK	7	SINK	41	22715	24922
SINK	23	SINK	39	32165	35954
SINK	35	SINK	34	28024	32416
SINK	33	SINK	30	17680	20752
SINK	26	SINK	23	18045	32165
SINK	16	SOURCE	1	18380	19031
SINK	38	SINK	21	15624	17182
SINK	1	SINK	18	13903	14809
SINK	17	SINK	14	32623	33728
SINK	24	SINK	30	18976	20752
SINK	33	SINK	24	17680	18976
SINK	31	SINK	36	10664	12425
SINK	20	SINK	34	29329	32416
SINK	37	SINK	39	32449	35954
SINK	14	SINK	39	33728	35954
SINK	21	SINK	15	17182	20505
SINK	35	SINK	37	28024	32449
SINK	25	SINK	20	24488	29329
SINK	24	SINK	15	18976	20505
SINK	29	SINK	39	33743	35954
SINK	4	SINK	38	9275	15624
SINK	41	SINK	5	24922	30187
SINK	36	SINK	10	12425	13502
SINK	35	SINK	29	28024	33743
SINK	22	SINK	41	24046	24922
SINK	13	SINK	23	24231	32165
SINK	28	SINK	30	20542	20752
SINK	33	SINK	28	17680	20542
SINK	41	SINK	12	24922	28661
SINK	36	SINK	16	12425	18380
SINK	17	SINK	27	32623	33512
SINK	4	SINK	21	9275	17182
SINK	33	SINK	2	17680	19017
SINK	27	SINK	39	33512	35954
SINK	11	SINK	19	19481	22341
SINK	7	SINK	13	22715	24231
SINK	23	SINK	14	32165	33728
SINK	31	SINK	10	10664	13502
SINK	1	SINK	15	13903	20505
SINK	1	SINK	21	13903	17182
SINK	33	SINK	6	17680	20318
SINK	6	SINK	30	20318	20752
SINK	34	SINK	29	32416	33743
SINK	1	SINK	24	13903	18976
SOURCE	1	SINK	11	19031	19481
SINK	31	SINK	16	10664	18380
SINK	30	SINK	8	20752	24937
SINK	38	SINK	26	15624	18045
SINK	15	SINK	32	20505	21356
SINK	19	SINK	40	22341	26944
SINK	12	SINK	20	28661	29329
SINK	2	SINK	28	19017	20542
SINK	34	SINK	27	32416	33512
SINK	4	SINK	1	9275	13903
SINK	21	SINK	32	17182	21356
SINK	9	SINK	17	31519	32623
SINK	5	SINK	23	30187	32165
SINK	37	SINK	29	32449	33743
SINK	13	SINK	5	24231	30187
SINK	22	SINK	25	24046	24488
SINK	10	SINK	18	13502	14809
SINK	21	SINK	26	17182	18045
SINK	6	SINK	28	20318	20542
SOURCE	1	SINK	19	19031	22341
SINK	25	SINK	12	24488	28661
SINK	2	SOURCE	1	19017	19031
SINK	28	SINK	8	20542	24937
SINK	7	SINK	22	22715	24046
SINK	27	SINK	14	33512	33728
SINK	28	SINK	3	20542	21872
SINK	20	SINK	9	29329	31519
SINK	3	SINK	19	21872	22341
SINK	27	SINK	29	33512	33743
SINK	30	SINK	25	20752	24488
SINK	40	SINK	35	26944	28024
SINK	2	SINK	3	19017	21872
SINK	42	SINK	40	24959	26944
SINK	15	SINK	13	20505	24231
SINK	9	SINK	23	31519	32165
SINK	19	SINK	42	22341	24959
SOURCE	1	SINK	3	19031	21872
SINK	30	SINK	7	20752	22715
SINK	10	SINK	33	13502	17680
SINK	36	SINK	2	12425	19017
SINK	15	SINK	7	20505	22715
SINK	3	SINK	8	21872	24937
SINK	24	SINK	7	18976	22715
SINK	12	SINK	5	28661	30187
SINK	36	SOURCE	1	12425	19031
SINK	8	SINK	35	24937	28024
SINK	4	SINK	31	9275	10664
SINK	16	SINK	11	18380	19481
SINK	8	SINK	42	24937	24959
SINK	18	SINK	33	14809	17680
SINK	26	SINK	32	18045	21356
SINK	3	SINK	42	21872	24959
SINK	42	SINK	35	24959	28024
SINK	18	SINK	24	14809	18976
SINK	4	SINK	10	9275	13502
SINK	8	SINK	20	24937	29329
SINK	30	SINK	22	20752	24046
