0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	ID	18	19	20	21	22	23	24	25
1	1	88.49	0.000	0.000	88.493	0.000	0.000	-6.72	0	-88.3261	38.5645	0	0	0	0	Clay City Consol.	3	384466	4269288	-6.72	-1.09	18.32	88.49	57.08	25.66
2	2	22.40	0.000	0.000	22.399	0.000	0.000	4.25	0	-87.8804	38.3723	0	0	0	0	New Harmony Consol.	19	423093	4247490	4.25	16.77	51.73	22.40	15.21	8.03
3	3	11.13	0.000	0.000	11.135	0.000	0.000	14.89	0	-87.9168	38.2601	0	0	0	0	Griffin Consol.	4	419793	4235066	14.89	31.41	79.18	11.13	7.49	3.85
4	4	9.88	0.000	0.000	9.883	0.000	0.000	-8.60	0	-88.3929	38.7344	0	0	0	0	Sailor Springs Consol.	23	378937	4288225	-8.60	-2.17	16.46	9.88	6.65	3.41
5	5	7.59	0.000	0.000	7.585	0.000	0.000	0.86	0	-88.2994	37.9449	0	0	0	0	Roland Consol.	21	385830	4200500	0.86	10.88	41.16	7.59	5.05	2.51
6	6	5.63	0.000	0.000	5.634	0.000	0.000	5.69	0	-88.0391	38.3191	0	0	0	0	Albion Consol.	12	409162	4241734	5.69	17.17	53.98	5.63	3.70	1.76
7	7	6.42	0.000	0.000	6.419	0.000	0.000	-5.02	0	-88.2252	38.2333	0	0	0	0	Golden Gate Consol.	6	392771	4232409	-5.02	0.47	19.88	6.42	4.12	1.82
8	8	4.46	0.000	0.000	4.460	0.000	0.000	0.71	0	-88.0464	38.1464	0	0	0	0	Phillipstown Consol.	8	408313	4222581	0.71	10.20	39.66	4.46	2.95	1.44
9	9	3.37	0.000	0.000	3.368	0.000	0.000	-1.32	0	-88.1935	37.8957	0	0	0	0	Herald Consol.	27	395064	4194911	-1.32	6.32	29.51	3.37	2.24	1.11
10	10	3.85	0.000	0.000	3.846	0.000	0.000	-15.90	0	-88.0073	38.5786	0	0	0	0	Parkersburg Consol.	29	412261	4270493	-15.90	-13.89	-7.19	3.85	2.50	1.15
